"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.modifierExtension","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromDay","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromDay","","","",1,1,"","","","string {[]} {[]}
","Från dag (1=Måndag, 7=Söndag)","Från dag (1=Måndag, 7=Söndag)","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromDay",1,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromTime","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromTime","","","",1,1,"","","","string {[]} {[]}
","Från tid (ISO-8601)","Från tid (ISO-8601)","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromTime",1,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toDay","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toDay","","","",1,1,"","","","string {[]} {[]}
","Till dag (1=Måndag, 7=Söndag)","Till dag (1=Måndag, 7=Söndag)","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toDay",1,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toTime","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toTime","","","",1,1,"","","","string {[]} {[]}
","Till tid (ISO-8601)","Till tid (ISO-8601)","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toTime",1,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.comment","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.comment","","","",0,1,"","","","string {[]} {[]}
","Information om aktuellt tidsintervall","Information om aktuellt tidsintervall","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.comment",0,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromDate","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromDate","","","",0,1,"","","","string {[]} {[]}
","Gäller från och med detta datum","Gäller från och med detta datum","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.fromDate",0,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toDate","getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toDate","","","",0,1,"","","","string {[]} {[]}
","Gäller till och med detta datum","Gäller till och med detta datum","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.telephoneHour.toDate",0,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.title","getcommissionmembersincludingprotectedperson.personInformation.title","","","",0,1,"","","","string {[]} {[]}
","Titel i fritext","Titel i fritext. Ref. titel (title) [R5]. Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.title",0,1,"",""
"getcommissionmembersincludingprotectedperson.personInformation.healthCareProfessionalLicence","getcommissionmembersincludingprotectedperson.personInformation.healthCareProfessionalLicence","","","",0,*,"","","","string {[]} {[]}
","Legitimerad yrkesgrupp","Legitimerad yrkesgrupp. Ref. legitimerad yrkesgrupp (hsaTitle) [R5].
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"getcommissionmembersincludingprotectedperson.personInformation.healthCareProfessionalLicence",0,*,"",""
