"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cancelextendedconsent-request","cancelextendedconsent-request","","","",0,*,"","","","null {[]} {[]}
","CancelExtendedConsent — Request","Logisk modell för requestparametrar i CancelExtendedConsent.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cancelextendedconsent-request.assertionId","cancelextendedconsent-request.assertionId","","","",1,1,"","","","Identifier {[]} {[]}
","Identifierare för det intyg som skall återkallas (UUID-format, max 36 tecken)","Identifierare för det intyg som skall återkallas (UUID-format, max 36 tecken)","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.assertionId",1,1,"",""
"cancelextendedconsent-request.cancellationAction","cancelextendedconsent-request.cancellationAction","","","",1,1,"","","","BackboneElement {[]} {[]}
","Identifierar de personer som begärt och registrerat återkallan samt tidpunkter","Identifierar de personer som begärt och registrerat återkallan samt tidpunkter","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"cancelextendedconsent-request.cancellationAction.id","cancelextendedconsent-request.cancellationAction.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"cancelextendedconsent-request.cancellationAction.extension","cancelextendedconsent-request.cancellationAction.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"cancelextendedconsent-request.cancellationAction.modifierExtension","cancelextendedconsent-request.cancellationAction.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"cancelextendedconsent-request.cancellationAction.requestDate","cancelextendedconsent-request.cancellationAction.requestDate","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt för begäran om återkallning","Tidpunkt för begäran om återkallning","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction.requestDate",1,1,"",""
"cancelextendedconsent-request.cancellationAction.requestedBy","cancelextendedconsent-request.cancellationAction.requestedBy","","","",1,1,"","","","BackboneElement {[]} {[]}
","Aktör som begärt återkallningen","Aktör som begärt återkallningen","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction.requestedBy",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"cancelextendedconsent-request.cancellationAction.requestedBy.id","cancelextendedconsent-request.cancellationAction.requestedBy.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"cancelextendedconsent-request.cancellationAction.requestedBy.extension","cancelextendedconsent-request.cancellationAction.requestedBy.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"cancelextendedconsent-request.cancellationAction.requestedBy.modifierExtension","cancelextendedconsent-request.cancellationAction.requestedBy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"cancelextendedconsent-request.cancellationAction.requestedBy.employeeId","cancelextendedconsent-request.cancellationAction.requestedBy.employeeId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaren (max 32 tecken)","HSA-id för medarbetaren (max 32 tecken)","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction.requestedBy.employeeId",1,1,"",""
"cancelextendedconsent-request.cancellationAction.requestedBy.assignmentId","cancelextendedconsent-request.cancellationAction.requestedBy.assignmentId","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaruppdraget (max 32 tecken)","HSA-id för medarbetaruppdraget (max 32 tecken)","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction.requestedBy.assignmentId",0,1,"",""
"cancelextendedconsent-request.cancellationAction.requestedBy.assignmentName","cancelextendedconsent-request.cancellationAction.requestedBy.assignmentName","","","",0,1,"","","","string {[]} {[]}
","Namn på medarbetaruppdraget (max 256 tecken)","Namn på medarbetaruppdraget (max 256 tecken)","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction.requestedBy.assignmentName",0,1,"",""
"cancelextendedconsent-request.cancellationAction.registrationDate","cancelextendedconsent-request.cancellationAction.registrationDate","","","",1,1,"","","","dateTime {[]} {[]}
","Tidpunkt för genomförd återkallning","Tidpunkt för genomförd återkallning","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction.registrationDate",1,1,"",""
"cancelextendedconsent-request.cancellationAction.registeredBy","cancelextendedconsent-request.cancellationAction.registeredBy","","","",1,1,"","","","BackboneElement {[]} {[]}
","Aktör som utfört återkallningen","Aktör som utfört återkallningen","","","","","","","","","",,,,,"",,,,"cancelextendedconsent-request.cancellationAction.registeredBy",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"cancelextendedconsent-request.cancellationAction.registeredBy.id","cancelextendedconsent-request.cancellationAction.registeredBy.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
