"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"gethealthcareunit","gethealthcareunit.healthCareUnit.archivedHealthCareUnit","gethealthcareunit.healthCareUnit.archivedHealthCareUnit","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdenheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","true: om vårdenheten är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.archivedHealthCareUnit",0,1,"",""
"gethealthcareunit","gethealthcareunit.healthCareUnit.archivedHealthCareProvider","gethealthcareunit.healthCareUnit.archivedHealthCareProvider","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdgivaren är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","true: om vårdgivaren är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunit.healthCareUnit.archivedHealthCareProvider",0,1,"",""
"gethealthcareunitlist-request","gethealthcareunitlist-request","gethealthcareunitlist-request","","","",0,*,"","","","null {[]} {[]}
","GetHealthCareUnitList — Request","Logisk modell för requestparametrar i GetHealthCareUnitList (RIV-TA urn:riv:infrastructure:directory:organization:GetHealthCareUnitList:2).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"gethealthcareunitlist-request","gethealthcareunitlist-request.healthCareProviderHsaId","gethealthcareunitlist-request.healthCareProviderHsaId","","","",1,1,"","","","string {[]} {[]}
","Vårdgivarens HSA-id. Ref. hsaIdentity [R5].","Kardinalitet: Obligatorisk.","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist-request.healthCareProviderHsaId",1,1,"",""
"gethealthcareunitlist-request","gethealthcareunitlist-request.searchBase","gethealthcareunitlist-request.searchBase","","","",0,1,"","","","string {[]} {[]}
","Sökbas. Om ingen sökbas anges används c=SE som sökbas.","DN-format. Används för sökning av kopplad enhet, vårdenhet och vårdgivare.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist-request.searchBase",0,1,"",""
"gethealthcareunitlist-request","gethealthcareunitlist-request.includeFeignedObject","gethealthcareunitlist-request.includeFeignedObject","","","",0,1,"","","","boolean {[]} {[]}
","true: om metoden ska leverera svar med fingerade objekt.","Uteblivet värde tolkas som false.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist-request.includeFeignedObject",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist","gethealthcareunitlist","","","",0,*,"","","","null {[]} {[]}
","GetHealthCareUnitList","Logisk modell för tjänstekontraktet GetHealthCareUnitList
(RIV-TA urn:riv:infrastructure:directory:organization:GetHealthCareUnitList:2).
Representerar responsens informationsstruktur — lista av vårdenheter för en angiven vårdgivare.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList","gethealthcareunitlist.healthCareUnitList","","","",0,1,"","","","BackboneElement {[]} {[]}
","Lista av vårdenheter för angiven vårdgivare","Aggregerat objekt med information om vårdgivaren och dess ingående vårdenheter.
Kardinalitet: Valfri.","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.id","gethealthcareunitlist.healthCareUnitList.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.extension","gethealthcareunitlist.healthCareUnitList.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.modifierExtension","gethealthcareunitlist.healthCareUnitList.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareProviderHsaId","gethealthcareunitlist.healthCareUnitList.healthCareProviderHsaId","","","",1,1,"","","","string {[]} {[]}
","Vårdgivarens HSA-id. Ref. hsaIdentity [R5].","Vårdgivarens HSA-id. Ref. hsaIdentity [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareProviderHsaId",1,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareProviderName","gethealthcareunitlist.healthCareUnitList.healthCareProviderName","","","",1,1,"","","","string {[]} {[]}
","Vårdgivarens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","Vårdgivarens namn. Ref. organisationsnamn (o) resp. enhetsnamn (ou) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareProviderName",1,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareProviderPublicName","gethealthcareunitlist.healthCareUnitList.healthCareProviderPublicName","","","",1,1,"","","","string {[]} {[]}
","Publikt officiellt namn på vårdgivaren.","Publikt officiellt namn på vårdgivaren.","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareProviderPublicName",1,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareProviderOrgNo","gethealthcareunitlist.healthCareUnitList.healthCareProviderOrgNo","","","",1,1,"","","","string {[]} {[]}
","Vårdgivarens organisationsnummer. Ref. orgNo [R5].","Vårdgivarens organisationsnummer. Ref. orgNo [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareProviderOrgNo",1,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareProviderStartDate","gethealthcareunitlist.healthCareUnitList.healthCareProviderStartDate","","","",0,1,"","","","dateTime {[]} {[]}
","Startdatum för vårdgivarens verksamhet. Ref. startDate [R5].","Startdatum för vårdgivarens verksamhet. Ref. startDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareProviderStartDate",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareProviderEndDate","gethealthcareunitlist.healthCareUnitList.healthCareProviderEndDate","","","",0,1,"","","","dateTime {[]} {[]}
","Slutdatum för vårdgivarens verksamhet. Ref. endDate [R5].","Slutdatum för vårdgivarens verksamhet. Ref. endDate [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareProviderEndDate",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.feignedHealthCareProvider","gethealthcareunitlist.healthCareUnitList.feignedHealthCareProvider","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdgivaren är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","true: om vårdgivaren är ett fingerat objekt. Ref. hjälpklassen Fingerat objekt (hsaFeignedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.feignedHealthCareProvider",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.archivedHealthCareProvider","gethealthcareunitlist.healthCareUnitList.archivedHealthCareProvider","","","",0,1,"","","","boolean {[]} {[]}
","true: om vårdgivaren är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","true: om vårdgivaren är ett arkiverat objekt. Ref. hjälpklassen arkiverat objekt (hsaArchivedObject) [R5].","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.archivedHealthCareProvider",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit","gethealthcareunitlist.healthCareUnitList.healthCareUnit","","","",0,*,"","","","BackboneElement {[]} {[]}
","Ingående vårdenhet enligt PDL","Lista av vårdenheter som tillhör vårdgivaren.
Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"gethealthcareunitlist.healthCareUnitList.healthCareUnit",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.id","gethealthcareunitlist.healthCareUnitList.healthCareUnit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.extension","gethealthcareunitlist.healthCareUnitList.healthCareUnit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"gethealthcareunitlist","gethealthcareunitlist.healthCareUnitList.healthCareUnit.modifierExtension","gethealthcareunitlist.healthCareUnitList.healthCareUnit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
